"auctionEndDate","auctionResultAuctionEnded","auctionResultBids","auctionResultHighBid","auctionResultReserveMet","auctionResultViews","auctionResultWatchers","auctionStatus","auctionUrl","countryCode","countryCodeAlpha3","currency","currentBid","currentBidFormatted","description","currentBidder","detailLocation","era","id","inSubscription","listingDetails/0","listingDetails/1","listingDetails/2","listingDetails/3","listingDetails/4","listingDetails/5","listingDetails/6","listingDetails/7","listingDetails/8","listingDetails/9","listingDetails/10","listingDetails/11","listingDetails/12","listingDetails/13","listingDetails/14","listingDetails/15","listingDetails/16","listingDetails/17","listingDetails/18","listingDetails/19","listingDetails/20","listingDetails/21","listingDetails/22","listingDetails/23","listingDetails/24","listingDetails/25","listingDetails/26","listingDetails/27","listingDetails/28","listingDetails/29","listingDetails/30","lotNumber","model","make","noReserve","privatePartyOrDealer","repeat","reserveMet","soldText","title","views"
"2026-01-16T20:11:34.000Z","January 16, 2026 at 12:11PM PT","46","219000","false","8927","1208","ended","https://bringatrailer.com/listing/2021-porsche-911-targa-4s-42/","US","USA","USD","219000","USD $219,000","This 2021 Porsche 911 Targa 4S is one of 992 Heritage Design Edition examples produced for the model year, and it now has 810 miles. It is finished in Chalk with Heritage Design graphics and gold badging, and the Heritage Design Interior is trimmed in Bordeaux Red and Atacama Beige Olea Club leather with corduroy accents.",,"Located in United States","2020s","107641314","false","Chassis: WP0BB2A91MS235397","810 Miles","Twin-Turbocharged 3.0L Flat-Six","Eight-Speed PDK Dual-Clutch Automatic Transaxle","Chalk Paint","Bordeaux Red and Atacama Beige Olea Club Leather Upholstery","20"" and 21"" Carrera Exclusive Manufaktur Alloy Wheels","Front-Axle Lift System","Retractable Targa Top","SportDesign Side Skirts","Heated & Power-Adjustable Front Seats","PCM w/Navigation","Bose Sound System","Surround-View Camera System","Window Sticker","Total Vehicle Price of $202k in 2021",,,,,,,,,,,,,,,,"226662","Porsche 992 911 Targa 4S Heritage Design Edition","Porsche","false","Dealer","false","false","Bid to USD $219,000 <span> on 1/16/26 </span>","2021 Porsche 911 Targa 4S Heritage Design Edition","0 Views"
"2026-01-16T19:44:00.000Z","January 16, 2026 at 11:44AM PT","23","74900","false","9125","1137","ended","https://bringatrailer.com/listing/1991-porsche-911-carrera-2-targa-23/","US","USA","USD","74900","USD $74,900","This 1991 Porsche 911 Carrera 2 Targa was registered with its previous owner from 2005 until it was listed on BaT in August 2023, and it was acquired by the current owner later that year. Finished in Guards Red over black partial leather, the car is powered by a 3.6-liter flat-six paired with a four-speed Tiptronic automatic transaxle.",,"Located in United States","1990s","106928090","false","Chassis: WP0BB2964MS440299","49k Miles Shown","3.6-Liter M64 Flat-Six","Four-Speed Automatic Transaxle","Guards Red Paint","Black Partial Leather Upholstery","Removable Targa Roof Panel","17"" Cup Wheels","Power-Adjustable Front Seats","Speed-Activated Rear Spoiler","Porsche CD Stereo","Air Conditioning","Cruise Control","Window Sticker","Porsche Certificate of Authenticity",,,,,,,,,,,,,,,,,"226648","Porsche 964 911 (Non-Turbo)","Porsche","false","Dealer","true","false","Bid to USD $74,900 <span> on 1/16/26 </span>","1991 Porsche 911 Carrera 2 Targa","0 Views"
"2026-01-16T19:28:00.000Z","January 16, 2026 at 11:28AM PT","15","15000","false","6492","701","ended","https://bringatrailer.com/listing/1999-porsche-911-carrera-cabriolet-146/","US","USA","USD","15000","USD $15,000","This 1999 Porsche 911 Carrera cabriolet was acquired by the seller in 2022 and has since been driven approximately 8k of its 62k miles. The car is powered by a 3.4-liter M96 flat-six paired with a six-speed manual transaxle and is finished in Black over black leather. Equipment includes a black soft top, a deployable rear spoiler, 18” Carrera II…",,"Located in United States","1990s","107440288","false","Chassis: WP0CA299XXS650217","62k Miles","3.4-Liter M96 Flat-Six","Six-Speed Manual Transaxle","Black Paint","Black Leather Upholstery","18” Carrera II Wheels","Deployable Rear Spoiler","Cruise Control","Automatic Climate Control","Blaupunkt Radio","Clean Carfax Report",,,,,,,,,,,,,,,,,,,,"226678","Porsche 996 911 Carrera","Porsche","false","Private Party","false","false","Bid to USD $15,000 <span> on 1/16/26 </span>","1999 Porsche 911 Carrera Cabriolet 6-Speed","0 Views"
"2026-01-16T18:09:37.000Z","January 16, 2026 at 10:09AM PT","21","210000","false","13936","1305","ended","https://bringatrailer.com/listing/1994-porsche-911-speedster-20-2/","US","USA","USD","210000","USD $210,000","This 1994 Porsche 911 Speedster is one of 936 examples produced between 1992 and 1994, just 427 of which were built for the US market. It is powered by a 3.6-liter flat-six paired with a G50 five-speed manual transaxle and is finished in Black over matching leather upholstery. Equipment includes 17″ Cup alloy wheels, a black soft top, a…","CoolClassicsIntl","Located in United States","1990s","107211878","false","Chassis: WP0CB2964RS465344","9k Miles Shown","3.6-Liter Flat-Six","G50 Five-Speed Manual Transaxle","Black Paint","Black Soft Top","Black Leather Upholstery","17"" Cup Alloy Wheels","Speed-Activated Rear Spoiler","Power-Height-Adjustable Seats","Air Conditioning","CDR-210 Stereo","Yellow Interior Accents","Clean Carfax Report",,,,,,,,,,,,,,,,,,"226231","Porsche 964 911 Speedster","Porsche","false","Dealer","true","false","Sold for USD $210,000 <span> on 1/16/26 </span>","9k-Mile 1994 Porsche 911 Speedster 5-Speed","0 Views"
"2026-01-15T20:59:55.000Z","January 15, 2026 at 12:59PM PT","33","27500","false","10946","1112","ended","https://bringatrailer.com/listing/1999-porsche-911-carrera-coupe-191/","US","USA","USD","27500","USD $27,500","This 1999 Porsche 911 Carrera coupe is finished in black over Savanna Beige leather and is powered by a 3.4-liter M96 flat-six paired with a six-speed manual transaxle. Features include a sunroof, the Power Seat Package, a deployable rear spoiler, 18″ Turbo-look wheels, cruise control, a CD stereo, and automatic climate control.","francescolomonaco","Located in United States","1990s","107293890","false","Chassis: WP0AA2994XS622050","99k Miles","3.4-Liter Flat-Six","Six-Speed Manual Transaxle","Black Paintwork","Savanna Beige Leather","18″ 993-Style Turbo-Look Wheels","Sunroof","Power Seat Package","Deployable Rear Spoiler","CD Stereo","Cruise Control","Automatic Climate Control",,,,,,,,,,,,,,,,,,,"226598","Porsche 996 911 Carrera","Porsche","false","Dealer","false","false","Sold for USD $27,500 <span> on 1/15/26 </span>","1999 Porsche 911 Carrera Coupe 6-Speed","0 Views"
"2026-01-15T20:46:34.000Z","January 15, 2026 at 12:46PM PT","34","61000","false","14121","1515","ended","https://bringatrailer.com/listing/2002-porsche-911-turbo-coupe-90/","US","USA","USD","61000","USD $61,000","This 2002 Porsche 911 Turbo coupe was modified under previous ownership with a TechArt body kit, rear wing, 18″ wheels, exhaust tips, and pedal covers, and it is powered by a twin-turbocharged 3.6L flat-six that drives all four wheels via a five-speed Tiptronic automatic transaxle. Finished in Arctic Silver Metallic over black full leather…","IrishWhiskey","Located in United States","2000s","107549191","false","Chassis: WP0AB29912S687041","64k Miles","Twin-Turbocharged 3.6-Liter Flat Six","Five-Speed Automatic Transaxle","Arctic Silver Metallic Paint","Black Full Leather Upholstery","TechArt Body Kit & Rear Spoiler","18"" TechArt Wheels","Bi-Xenon Headlights","Sunroof","Heated & Powered Front Sport Seats","Wood Interior Trim","Bose Speakers","Cruise Control","Clean Carfax Report",,,,,,,,,,,,,,,,,"226593","Porsche 996 911 Turbo","Porsche","true","Dealer","true","true","Sold for USD $61,000 <span> on 1/15/26 </span>","2002 Porsche 911 Turbo Coupe","0 Views"
"2026-01-15T20:41:33.000Z","January 15, 2026 at 12:41PM PT","28","57991","false","6790","757","ended","https://bringatrailer.com/listing/2019-porsche-911-carrera-cabriolet-8/","US","USA","USD","57991","USD $57,991","This 2019 Porsche 911 Carrera Cabriolet was specified with Carrara White Metallic paintwork, ventilated power sport seats with Espresso and Cognac natural leather upholstery, 20&quot; RS Spyder Design wheels, the Premium Package, a Bose sound system, and Porsche Entry &amp; Drive. Its twin-turbocharged 3.0L flat-six is paired with an…",,"Located in United States","2010s","106172699","false","Chassis: WP0CA2A91KS129343","77k Miles","Twin-Turbocharged 3.0L Flat-Six","Seven-Speed PDK Dual-Clutch Transaxle","Carrara White Metallic","Black Convertible Soft Top","Cognac & Espresso Natural Leather Upholstery","20"" RS Spyder Design Alloy Wheels","Premium Package","Bi-Xenon Headlights w/PDLS","Heated & Ventilated Front Sport Seats","Bose Surround-Sound System","Back-Up Camera","Dual-Zone Automatic Climate Control","Window Sticker","Clean Carfax Report",,,,,,,,,,,,,,,,"226586","Porsche 991 911 Carrera","Porsche","false","Private Party","false","false","Bid to USD $57,991 <span> on 1/15/26 </span>","2019 Porsche 911 Carrera Cabriolet","0 Views"
"2026-01-15T20:14:13.000Z","January 15, 2026 at 12:14PM PT","32","74000","false","7915","1017","ended","https://bringatrailer.com/listing/2012-porsche-911-carrera-4-gts-42/","US","USA","USD","74000","USD $74,000","This 2012 Porsche 911 Carrera 4 GTS cabriolet has 21k miles following history with two registered owners, and it was ordered with over $11k in optional equipment including the Sport Chrono Package Plus, PCM 3.0 with Extended Navigation, heated front sport seats, a Bose surround sound system, bi-xenon headlights with PDLS, clear taillights, and…","ChevronJohn","Located in United States","2010s","107113023","false","Chassis: WP0CB2A96CS754836","21k Miles","3.8-Liter Flat-Six","Seven-Speed PDK Dual-Clutch Transaxle","Carrara White Paint","Black Leather & Alcantara Interior","19″ RS Spyder Center-Lock Wheels","Sport Chrono Package Plus","Black Soft Top","Bi-Xenon Headlights w/PDLS","Clear Taillights","PCM 3.0 w/Extended Navigation","Bose Surround Sound System","Heated Front Sport Seats","Clean Carfax Report",,,,,,,,,,,,,,,,,"226557","Porsche 997 911 Carrera 4 GTS","Porsche","false","Dealer","false","false","Sold for USD $74,000 <span> on 1/15/26 </span>","21k-Mile 2012 Porsche 911 Carrera 4 GTS Cabriolet","0 Views"
"2026-01-15T18:40:14.000Z","January 15, 2026 at 10:40AM PT","45","122000","false","29593","2029","ended","https://bringatrailer.com/listing/2007-porsche-911-turbo-coupe-194/","US","USA","USD","122000","USD $122,000","This 2007 Porsche 911 Turbo coupe is finished in Black over Black leather, and it is powered by a twin-turbocharged 3.6L flat-six that drives all four wheels via a six-speed manual transaxle. The car was optioned with the Sport Chrono Package, and additional features include 20&quot; CEC wheels, bi-xenon headlights, a power sunroof, PCM with…","Mhpilot9","Located in United States","2000s","106819333","false","Chassis: WP0AD29977S784729","46k Miles","Twin-Turbocharged 3.6-Liter Flat-Six","Six-Speed Manual Transaxle","Black Paint","Black Leather Upholstery","20"" CEC Wheels","Europipe Exhaust System","Power Sunroof","Rear Spoiler","Heated Power-Adjustable Front Seats","PCM w/Navigation","CD Stereo","Bose Sound System",,,,,,,,,,,,,,,,,,"226498","Porsche 997 911 Turbo","Porsche","false","Private Party","false","false","Sold for USD $122,000 <span> on 1/15/26 </span>","2007 Porsche 911 Turbo Coupe 6-Speed","0 Views"
"2026-01-15T18:27:49.000Z","January 15, 2026 at 10:27AM PT","34","57500","false","13680","1525","ended","https://bringatrailer.com/listing/2004-porsche-911-carrera-4s-coupe-46/","US","USA","USD","57500","USD $57,500","This 2004 Porsche 911 Carrera 4S coupe is believed to have spent its first few years on a showroom floor before it was registered in Massachusetts and later Texas. It is finished in Slate Grey Metallic over black full supple leather and features 18″ Sport Techno wheels, stainless steel exhaust finishers, heated front seats, a Bose sound system,…",,"Located in United States","2000s","107037783","false","Chassis: WP0AA29994S622105","19k Miles","3.6-Liter Flat-Six","Six-Speed Manual Transaxle","All-Wheel Drive","Slate Gray Metallic Paint","Black Full Supple Leather Upholstery","18"" Sport Techno Wheels","Stainless Steel Exhaust Finishers","Heated Front Seats","Bose Sound System","Nokia Digital Sound Processing (DSP)","Aluminum Shifter & Handbrake Trim","Clean Carfax Report",,,,,,,,,,,,,,,,,,"226492","Porsche 996 911 Carrera 4S","Porsche","false","Dealer","false","false","Bid to USD $57,500 <span> on 1/15/26 </span>","19k-Mile 2004 Porsche 911 Carrera 4S Coupe 6-Speed","0 Views"
